_id;event;venue;machine;vendType;productName;transactionDate;quantity;quantitySet;totalStamps;currency;value;paymentStatus;sesionId;etiquetasRollo1;etiquetasRollo2;etiquetaMes;titutoEvento;feria;Lugar;fecha;mes;annio;documento
JQXy3NSjefHxmbPNT;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:58:49;1;1;1;EUR;1.50;FERIA;70;0;267;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
nQFahdXYXDpPnixvn;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:58:51;1;1;1;EUR;1.50;FERIA;71;0;266;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
b3j76xHi3srCFEpZQ;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:58:53;1;1;1;EUR;1.50;FERIA;72;0;265;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
zmHhF9cTjvvnoPYLo;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:30;1;1;1;EUR;1.40;FERIA;73;0;264;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
4cBMWH8CMRN7kzKEB;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:32;1;1;1;EUR;1.40;FERIA;74;0;263;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
d3n8TFiwc7Nvtimrj;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:35;1;1;1;EUR;1.40;FERIA;75;0;262;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
cRwGMMB2PER8jMT6X;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:37;1;1;1;EUR;1.40;FERIA;76;0;261;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
HA3MTBwrWTxdFQMMv;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:39;1;1;1;EUR;1.40;FERIA;77;0;260;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
hXCzS6s3KMPoMLMYw;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:41;1;1;1;EUR;1.40;FERIA;78;0;259;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
2m3aanFYuDb7DEtv4;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:43;1;1;1;EUR;1.40;FERIA;79;0;258;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
LWNBfCc3JbxijCAnE;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:45;1;1;1;EUR;1.40;FERIA;80;0;257;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
2LoT29FqEeQhXpk8M;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:47;1;1;1;EUR;1.40;FERIA;81;0;256;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
4eysJECFeqtokDK7X;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:48;1;1;1;EUR;1.40;FERIA;82;0;255;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
BAuhubsdpJtGmcBwP;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:51;1;1;1;EUR;1.40;FERIA;83;0;254;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
2QoZPSf6ttymejpDc;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:53;1;1;1;EUR;1.40;FERIA;84;0;253;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
jwfDEZs9iRdmTStMY;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 13:00:55;1;1;1;EUR;1.40;FERIA;85;0;252;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
